,Low Education,High Education
18,0.13213699916588045,0.21240289130961817
19,0.13904707342967348,0.22020053858715372
20,0.1459021284954073,0.22792098484097545
21,0.15270260243538614,0.23556499440394574
22,0.15944892983390724,0.24313332404160848
23,0.16614154181503316,0.25062672302710975
24,0.17278086607014265,0.25804593321537694
25,0.17936732688526202,0.2653916891165631
26,0.18590134516817958,0.272664717968764
27,0.1923833384753434,0.27986573981001606
28,0.19881372103854544,0.2869954675495804
29,0.2051929037913931,0.29405460703852193
30,0.21152129439556966,0.3010438571395895
31,0.21779929726688618,0.30796390979640387
32,0.2240273136011255,0.314815450101961
33,0.23020574139968075,0.32159915636645686
34,0.23633497549498972,0.32831570018444134
35,0.2424154075757664,0.3349657465013065
36,0.24844742621203197,0.3415499536791169
37,0.2544314168799464,0.34806897356178834
38,0.2603677619864423,0.35452345153962106
39,0.2662568408936625,0.36091402661319427
40,0.27209902994320345,0.36724133145662763
41,0.2778947024801651,0.3735059924802169
42,0.2836442288770096,0.37970862989244913
43,0.28934797655722977,0.38584985776140435
44,0.2950063100188298,0.3919302840755484
45,0.3006195908576179,0.3979505108039252
46,0.3061881777903146,0.4039111339557515
47,0.311712426677476,0.40981274363942344
48,0.31719269054623556,0.415655924120937
49,0.322629319612864,0.4214412538817317
50,0.32802266130515,0.4271693056759607
51,0.33337306028460245,0.4328406465871937
52,0.33868085846847606,0.43845583808455957
53,0.3439463950516217,0.4440154360783318
54,0.34917000652816266,0.44951999097496476
55,0.35435202671299815,0.454970047731584
56,0.3594927867631358,0.4603661459099381
57,0.3645926151988542,0.4657088197298156
58,0.36965183792469736,0.4709985981219337
59,0.37467077825030104,0.47623600478030237
60,0.3796497569110542,0.4814215582140714
61,0.3845890920885956,0.4865557717988629
62,0.3894890994311472,0.49163915382759604
63,0.39435009207368554,0.496672207560809
64,0.3991723806579527,0.501655431276482
65,0.4039562733523079,0.5065893183193675
66,0.4087020758714208,0.5114743571498317
67,0.41341009149580865,0.5163110313922132
68,0.4180806210912168,0.5210998198827016
69,0.42271396312784615,0.5258411967167435
70,0.42731041369942635,0.5305356312959779
71,0.4318702665421381,0.535183588374708
72,0.4363938130533842,0.5397855281059121
