age;death_prob_male;death_prob_female
0;0.00325298;0.00288995
1;0.00025350;0.00020856
2;0.00018100;0.00015350
3;0.00014128;0.00011914
4;0.00011836;0.00009721
5;0.00010452;0.00008312
6;0.00009552;0.00007425
7;0.00008873;0.00006907
8;0.00008303;0.00006674
9;0.00007914;0.00006689
10;0.00007787;0.00006944
11;0.00008018;0.00007457
12;0.00008755;0.00008272
13;0.00010269;0.00009465
14;0.00012872;0.00011085
15;0.00016794;0.00013091
16;0.00022191;0.00015353
17;0.00028893;0.00017613
18;0.00036068;0.00019463
19;0.00042089;0.00020437
20;0.00045911;0.00020484
21;0.00047571;0.00019919
22;0.00047596;0.00019107
23;0.00046739;0.00018379
24;0.00045793;0.00018023
25;0.00045411;0.00018269
26;0.00045729;0.00019114
27;0.00046735;0.00020504
28;0.00048446;0.00022399
29;0.00050907;0.00024751
30;0.00054193;0.00027482
31;0.00058384;0.00030497
32;0.00063492;0.00033793
33;0.00069502;0.00037376
34;0.00076369;0.00041253
35;0.00083997;0.00045425
36;0.00092221;0.00049888
37;0.00100930;0.00054650
38;0.00110203;0.00059757
39;0.00120165;0.00065269
40;0.00130981;0.00071263
41;0.00142864;0.00077836
42;0.00156076;0.00085107
43;0.00170846;0.00093194
44;0.00187351;0.00102207
45;0.00205784;0.00112276
46;0.00226355;0.00123549
47;0.00249294;0.00136197
48;0.00274858;0.00150414
49;0.00303388;0.00166362
50;0.00335310;0.00184180
51;0.00371120;0.00204000
52;0.00411400;0.00225939
53;0.00456835;0.00250093
54;0.00508175;0.00276582
55;0.00566051;0.00305743
56;0.00631056;0.00338052
57;0.00703774;0.00374100
58;0.00784754;0.00414621
59;0.00874483;0.00460528
60;0.00973313;0.00512618
61;0.01081356;0.00571033
62;0.01198472;0.00635591
63;0.01324216;0.00705773
64;0.01457783;0.00780635
65;0.01597984;0.00858767
66;0.01744392;0.00939707
67;0.01898028;0.01024816
68;0.02060440;0.01116157
69;0.02233709;0.01216511
70;0.02420523;0.01329538
71;0.02624195;0.01459783
72;0.02847670;0.01610264
73;0.03093664;0.01782531
74;0.03365310;0.01977932
75;0.03666250;0.02197471
76;0.04000711;0.02441623
77;0.04374051;0.02711138
78;0.04795266;0.03012557
79;0.05276521;0.03356844
80;0.05833063;0.03758581
81;0.06484059;0.04237160
82;0.07253679;0.04818507
83;0.08167546;0.05531723
84;0.09241132;0.06395658
85;0.10485809;0.07425316
86;0.11908998;0.08631560
87;0.13511990;0.10017862
88;0.15287782;0.11576845
89;0.17224612;0.13296767
90;0.19310484;0.15170815
91;0.21527181;0.17187544
92;0.23849636;0.19329640
93;0.26246448;0.21574129
94;0.28681714;0.23893813
95;0.31130731;0.26273304
96;0.33582560;0.28712413
97;0.36029654;0.31215597
98;0.38467353;0.33791111
99;0.40893627;0.36450313
100;0.43280007;0.56719993
